bedrooms,sqft_living,price
4,3760,1580000
5,3040,562000
5,2910,530000
3,2970,525000
2,1660,484000
4,3200,725126
4,2680,360000
3,1230,387000
4,2740,483500
4,3380,655500
3,1110,345000
5,1800,533000
3,1900,385000
2,930,675000
3,1690,197000
3,1420,485000
5,4510,1870000
3,1980,295000
2,1170,499000
3,2200,1050000
3,800,191000
3,1480,500000
5,2890,390000
3,2690,979000
4,3569,580000
3,1270,369950
5,4490,1800000
4,3040,776000
3,1170,519950
5,2060,255000
3,990,495000
4,2430,510000
4,4460,1150000
3,1250,253000
3,1540,503000
3,1600,275000
3,1110,249000
3,1840,310000
3,2520,750000
3,2680,630000
9,3830,599999
4,2410,758000
4,1720,248500
3,2070,310000
3,1760,460000
3,1680,675000
2,1550,526000
3,4120,560000
4,1830,415000
3,1400,246000
3,1870,314500
7,6210,3200000
2,1040,420000
3,2720,535000
3,1010,350000
3,1580,515000
4,2600,749950
3,1920,230000
3,2350,568000
1,1100,250000
4,2510,581000
3,3240,651000
3,2460,600000
2,1010,500000
2,820,475000
5,2420,352000
3,1770,420000
2,1350,428000
3,1960,599000
4,3305,492000
2,2550,630000
5,4130,900000
4,2310,1110000
4,1650,575000
4,2650,705000
4,1890,940000
3,2190,313000
3,2030,618080
3,2270,640000
3,1610,485000
2,760,300000
2,1640,379500
3,1630,339950
6,3560,1500000
3,2960,1340000
3,1940,500000
3,1410,239900
3,1040,314950
2,820,361280
2,910,100000
7,3700,540000
4,2180,480500
3,1600,280000
3,1500,440000
3,1340,530000
3,1860,560000
3,2540,775000
2,1040,160000
3,1380,209950
3,1640,226500
5,3000,380000
4,2140,409500
3,1760,690000
3,1660,405000
3,1830,375000
4,2210,794154
4,1490,185000
3,1260,245000
5,4270,1532500
4,3900,1040000
2,1150,425000
4,2656,495000
5,2410,365000
3,1606,417250
2,820,339950
2,1540,615000
3,2090,403000
5,3160,980000
4,1730,258000
3,1670,533000
4,2550,537500
5,3040,830000
3,1250,712000
4,2020,262000
4,2660,753888
2,980,134000
3,1960,402000
2,720,205000
2,1360,553650
2,1870,559950
4,2130,260000
4,1810,270000
2,2200,295000
3,1690,719000
3,1940,266000
4,2320,325900
4,2060,647500
4,3410,1039000
4,2250,569000
3,1390,246000
2,1060,515000
3,1490,207000
4,2480,780000
5,2440,489990
3,2240,335000
3,1920,295000
3,1890,385000
4,2250,350000
2,1270,235000
2,960,358000
4,3290,716500
4,2000,228000
2,1020,405000
4,1840,538000
3,1980,530000
6,3510,1750000
2,1230,636000
4,2280,535000
3,2430,1500000
3,2920,868500
4,2280,530000
3,1510,450000
3,950,230000
3,1190,229000
3,1310,437000
5,2800,1307000
3,1750,595000
3,1320,660000
4,2460,347500
3,1240,297950
3,1260,245000
6,2820,543200
4,3820,1250000
3,1540,413450
2,1550,330000
3,1460,424500
3,1390,230000
3,2640,930000
3,1590,349000
4,1910,835000
3,2015,988500
3,1410,500000
2,1110,499000
2,860,321950
3,2310,494000
2,1020,441750
2,980,438000
4,4230,985000
3,1640,352000
4,3810,839900
4,2790,765000
4,1750,460000
4,1430,224500
3,1850,254000
2,960,255000
3,2480,610000
4,3750,920000
4,2600,402500
3,1390,280950
4,2260,604000
4,2470,565000
2,810,255000
4,1650,445000
3,3000,2400000
2,720,195000
3,1390,275000
3,1445,387000
2,1840,490000
3,2100,505000
3,1060,303500
3,1500,270000
4,1970,323000
3,1410,382000
4,3720,1370000
4,2190,280000
3,1920,260000
3,1160,201500
4,5860,1157200
4,2000,536500
4,2163,248000
5,3480,532000
4,2840,580000
2,1150,463000
4,3100,742500
3,1420,260000
4,2430,590000
4,1930,312000
3,1660,566000
3,1400,511555
4,2660,583000
4,2000,290000
4,2130,311100
3,1352,325000
3,1750,491300
5,2320,315000
2,1420,360000
4,1940,330000
3,1410,481450
3,1360,234950
3,1220,251000
4,2830,782000
4,3780,833000
4,2330,542500
3,3560,851000
4,1470,325000
4,3060,415000
3,1030,252500
4,1930,465000
3,1780,336900
3,2000,225000
3,1690,270000
5,5190,1702500
3,1300,536000
4,2400,585000
2,1150,445000
4,2310,320000
4,2730,769900
4,2840,557000
2,1020,212000
3,1340,376000
4,3540,800000
5,7270,2238888
3,998,324000
5,3060,549900
3,2130,320000
4,2520,875000
4,1940,265000
3,1350,394950
4,2160,842500
3,1370,368000
4,5420,1225000
4,2830,885000
3,2010,453246
4,3300,927000
2,1230,490000
3,1720,341000
1,810,235000
3,1560,1200000
3,2560,560000
4,4700,900000
2,1220,255000
5,3650,1575000
3,2170,876650
4,2540,540000
2,910,350000
4,2980,750000
4,2120,582000
4,3460,1315000
5,2480,372500
3,2200,410000
4,1730,360000
3,2920,1015000
3,990,225000
4,3040,647000
5,4530,950000
3,1370,185000
3,1940,335000
3,1040,210000
