,created_date,city_mapped,first_platform_c,first_utm_medium_c,first_utm_source_c,total_leads_droppped,referred_lead,1_on_1_industry_mentorship,call_us_button_clicked,career_assistance,career_coach,career_impact,careers,chat_clicked,companies,download_button_clicked,download_syllabus,emi_partner_click,emi_plans_clicked,fee_component_click,hiring_partners,homepage_upgrad_support_number_clicked,industry_projects_case_studies,live_chat_button_clicked,payment_amount_toggle_mover,placement_support,placement_support_banner_tab_clicked,program_structure,programme_curriculum,programme_faculty,request_callback_on_instant_customer_support_cta_clicked,shorts_entry_click,social_referral_click,specialisation_tab_clicked,specializations,specilization_click,syllabus,syllabus_expand,syllabus_submodule_expand,tab_career_assistance,tab_job_opportunities,tab_student_support,view_programs_page,whatsapp_chat_click
34,2021-12-28 10:48:14,kolkata,Level7,Level22,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2021-12-08 05:54:49,bengaluru,Level0,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-01-31 05:28:39,hyderabad,Level0,Level0,Level0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2021-12-06 17:15:53,ncr,Level0,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2022-01-20 06:00:31,mumbai,Level1,Level115,Level22,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022-01-12 15:05:34,,Level1,Level114,Level53,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021-09-02 07:09:59,ncr,Level0,Level6,Level23,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2021-11-20 20:46:25,pune,Level10,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2021-09-12 06:10:24,varanasi,Level0,Level4,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2021-10-26 04:50:02,nan,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2021-10-24 09:42:25,ahmedabad,Level2,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2022-01-18 18:20:50,chennai,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2021-12-27 03:42:10,ncr,Level0,Level19,Level11,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2021-09-28 03:57:30,gaya,Level5,Level40,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2021-09-29 15:16:29,bengaluru,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2022-01-15 07:12:08,ncr,Level11,Level71,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2021-11-29 15:14:52,pune,Level0,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2021-07-07 14:45:57,mumbai,Level10,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2021-09-18 17:54:43,greater noida,Level7,Level14,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2021-11-05 06:33:08,pune,Level10,Level19,Level11,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2022-01-03 08:02:19,bengaluru,Level1,Level81,Level18,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2021-07-09 06:46:06,nagpur,Level24,Level59,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2021-12-21 06:46:58,bengaluru,Level15,Level26,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2021-07-27 15:35:19,nagpur,Level12,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2021-10-22 18:20:25,villupuram,Level7,Level23,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2021-08-23 16:42:31,,Level4,Level30,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2021-08-05 17:11:33,kolkata,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2021-12-11 20:07:29,bhubaneswar,Level3,Level103,Level21,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2021-12-07 12:47:47,ncr,Level10,Level18,Level9,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2021-07-14 16:38:19,pune,Level0,Level11,Level9,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2022-01-07 07:22:12,ahmedabad,Level10,Level8,Level24,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2021-08-03 16:16:41,,Level11,Level6,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2021-08-30 17:55:31,kurukshetra,Level7,Level23,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2021-08-16 16:02:35,bengaluru,Level0,Level11,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2021-07-01 14:57:54,indore,Level7,Level32,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2022-01-20 08:09:55,medchal,Level10,Level11,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2021-09-14 13:34:04,ncr,Level10,Level129,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2021-07-27 07:12:44,bulandshahr,Level24,Level151,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2021-07-10 17:12:15,ncr,Level4,Level231,Level22,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2021-10-31 17:58:35,chennai,Level3,Level60,Level21,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2021-07-25 12:18:53,mohali,Level4,Level45,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2022-02-11 09:22:10,bengaluru,Level38,Level21,Level22,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2021-07-13 00:02:13,howrah,Level0,Level27,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2021-12-25 08:21:43,kollam,Level2,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2021-08-23 13:15:33,chandigarh,Level10,Level129,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2021-12-27 14:20:08,indore,Level4,Level207,Level3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2021-09-27 14:26:24,ncr,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2021-07-13 14:47:39,bengaluru,Level12,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2021-08-08 02:23:43,patna,Level0,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2021-12-06 05:07:02,ncr,Level1,Level1,Level18,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2022-02-13 15:27:39,mumbai,Level8,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2021-11-25 06:20:40,raxaul,Level2,Level28,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2021-08-14 15:28:34,mandya,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2021-11-12 12:33:50,pune,Level1,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2022-01-01 07:28:18,mohali,Level0,Level18,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2022-01-17 10:31:38,jalandhar,Level24,Level63,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2021-09-15 06:14:57,puducherry,Level10,Level19,Level11,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2021-12-03 08:00:53,mysuru,Level0,Level13,Level2,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2021-11-29 01:51:47,ranchi,Level0,Level13,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2021-09-13 16:12:15,habra,Level0,Level13,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2021-11-02 14:13:27,chandigarh,Level1,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2021-10-20 18:31:27,surat,Level3,Level0,Level0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2021-07-09 04:10:10,lucknow,Level3,Level0,Level31,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2022-01-27 14:42:43,mandya,Level3,Level147,Level21,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2021-11-30 16:52:10,guwahati,Level10,Level19,Level11,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2021-12-21 08:56:00,coimbatore,Level10,Level4,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2022-02-02 14:25:47,ncr,Level2,Level248,Level80,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2022-01-15 16:40:30,pune,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2021-11-18 14:35:50,kolkata,Level0,Level1,Level1,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2021-10-28 17:58:28,dakshin kannada,Level7,Level14,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2021-11-10 08:31:20,mumbai,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2022-01-18 12:04:24,nan,Level2,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2022-01-02 09:26:34,ncr,Level0,Level13,Level2,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2021-12-02 13:36:43,jangipur,Level7,Level22,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2021-07-26 16:04:20,indore,Level4,Level17,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2021-10-18 10:25:14,mumbai,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2022-01-21 10:37:07,lucknow,Level7,Level22,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2021-10-27 14:58:53,chennai,Level7,Level23,Level6,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2021-08-10 14:56:57,,Level4,Level30,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2022-01-11 13:29:56,bengaluru,Level0,Level55,Level1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2021-11-22 13:14:42,ncr,Level1,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2021-08-09 16:45:54,patna,Level3,Level54,Level21,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2021-07-06 13:38:00,meerut,Level0,Level11,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2021-09-06 15:25:16,pune,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2021-12-03 13:59:59,ahmedabad,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2021-09-18 23:42:18,vadodara,Level3,Level0,Level0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2021-12-18 08:05:37,hyderabad,Level2,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2021-10-13 14:45:19,ncr,Level10,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2022-01-18 06:48:06,surat,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2021-08-05 14:02:21,bengaluru,Level8,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2022-01-07 06:42:35,bengaluru,Level11,Level21,Level13,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2021-11-11 14:43:32,,Level1,Level312,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2021-12-29 15:21:47,meerut,Level0,Level13,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2021-07-17 18:16:02,allahabad,Level7,Level32,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2021-08-10 04:49:51,ncr,Level4,Level21,Level22,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2021-11-18 14:01:39,bihar,Level1,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2021-07-17 18:18:30,chandigarh,Level7,Level102,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2021-09-02 08:35:30,vadodara,Level0,Level11,Level9,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2022-01-03 23:04:53,howrah,Level0,Level9,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2021-09-06 02:21:27,pune,Level3,Level93,Level21,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2021-08-28 19:48:23,pratapgarh,Level0,Level4,Level2,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2021-10-04 10:54:43,chennai,Level14,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2021-09-24 17:52:31,varanasi,Level7,Level14,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2021-11-24 05:20:01,hyderabad,Level0,Level47,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2021-08-01 12:56:06,mumbai,Level2,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2021-11-17 14:10:30,kolkata,Level0,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2021-10-22 02:40:26,pune,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2021-08-12 08:41:27,kolkata,Level0,Level278,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2021-12-21 06:37:12,bengaluru,Level15,Level26,Level6,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2021-12-30 07:47:59,lucknow,Level0,Level9,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2021-11-14 17:03:10,pune,Level10,Level40,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2021-11-12 11:23:50,chennai,Level3,Level0,Level0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2021-08-30 18:02:48,howrah,Level7,Level14,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2021-12-05 15:53:27,ncr,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2022-01-06 14:27:53,mumbai,Level3,Level183,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2021-07-21 16:08:16,,Level4,Level30,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2021-08-25 06:28:17,ahmedabad,Level24,Level63,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2021-11-27 06:01:40,bengaluru,Level10,Level4,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2021-12-23 13:27:10,pune,Level11,Level21,Level13,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2021-08-04 17:10:12,ranchi,Level7,Level23,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2022-01-17 10:58:40,lucknow,Level0,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2021-12-26 04:08:53,indore,Level21,Level51,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2022-01-14 08:04:52,bardhaman,Level0,Level0,Level0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2021-10-23 16:56:41,hyderabad,Level7,Level7,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2021-09-21 07:55:41,chennai,Level5,Level0,Level0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2022-02-05 17:16:38,vizianagaram,Level3,Level0,Level0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2021-12-15 11:50:37,bengaluru,Level0,Level13,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2021-08-04 17:38:22,chennai,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2021-08-03 09:24:32,ncr,Level0,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2021-10-12 19:10:59,ncr,Level3,Level0,Level0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2021-10-18 15:11:20,vasco da gama,Level7,Level7,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2021-10-22 15:52:09,mumbai,Level2,Level2,Level2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2021-09-06 15:38:56,ncr,Level0,Level8,Level7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2022-01-04 17:18:50,bhubaneswar,Level0,Level4,Level2,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2021-09-07 14:37:31,pune,Level4,Level15,Level10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2022-01-29 04:34:11,ahmedabad,Level0,Level11,Level9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2021-12-07 06:26:31,garhchiroli,Level3,Level84,Level21,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2021-12-09 15:13:02,kalpakkam,Level3,Level84,Level21,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2021-12-17 15:13:34,pune,Level7,Level22,Level6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
